id,text,category,airlLevel,isCritical,scope,expectations,commentPrompt,createdAt,updatedAt
550e8400-e29b-41d4-a716-446655440001,Comprehensive literature & patent search,Technology,1,TRUE,project,"{""Survey academic papers, patents, standards and prior art relevant to the robotics concept.""}",Link to Patent/Paper Search,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440002,Identify core scientific principles,Technology,1,TRUE,project,"{""Document physics, kinematics, sensing limitations and control theory relevant to the idea.""}",Upload Physics/Math Model,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440003,Define problem statement & user needs,Technology,1,TRUE,project,"{""Capture stakeholder needs, use-cases and success criteria at a high level.""}",Problem Statement Doc,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440004,High-level feasibility assessment,Product Engineering,1,TRUE,project,"{""Quick physics & tech feasibility scan including energy, computation, sensing limits.""}",Feasibility Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440005,Identify critical knowledge gaps,Technology,1,TRUE,project,"{""List unknowns that would block progress (battery life, sensing range, compute performance).""}",Gap Analysis List,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440006,High-level regulatory & ethical scan,Product Engineering,1,TRUE,project,"{""List likely regulations, safety expectations and ethical concerns.""}",Compliance Checklist,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440007,State-of-the-art benchmarking [Tech Only],Market Research,1,TRUE,project,"{""Map competing systems and their capabilities/gaps.""}",Benchmark Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440008,Engage domain experts,Technology,1,TRUE,project,"{""Interview 2-3 subject matter experts to validate problem relevance.""}",Interview Notes,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440009,Create research notes & references database,Technology,1,TRUE,project,"{""Centralized repository with annotated references.""}",Link to Repository,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440010,Teams setup and functional (TRL 1),Organization Structure,1,TRUE,project,"{""Team required to be onboarded and performing the activity to support the stage gate and business needs.""}",Org Chart / Team List,2026-01-22 10:00:00,2026-01-22 10:00:00
